Rank,CpG_site,Gene,Mean_Importance,Slope,Trend,Methylation,Meth_Slope,Age_Group_0_Imp,Age_Group_20_45,Age_Group_65_75,Age_Group_80plus
24,cg14399060,HOXD4,0.5184917,-0.0007593896922317764,down,hypo,-0.00025657493803436023,0.5574789272238877,0.5148711039906456,0.4961693179468776,0.47572740018367765
25,cg27508071,C7orf26,0.51836765,-0.0012338603645166673,down,hypo,-0.0009510023168164763,0.5885561894107338,0.5008606178419931,0.4936928360961204,0.47534496188163755
26,cg09002774,SLC35B1,0.5182209,-0.0004094851985340411,down,hyper,0.0003825837642221051,0.5510904096214977,0.5023150392941066,0.5128014759961949,0.5225115329027176
27,cg21842274,CRHBP,0.5182104,-0.0007557795655181304,down,hypo,-0.00285277853259106,0.5725856952319871,0.49528123849914185,0.5128756324912227,0.5117831707000733
28,cg26704579,CYP1A1,0.5179452,-0.001224396978281894,down,hyper,0.0007244142027765164,0.5791626102876979,0.5094806715136483,0.4854046383569407,0.48990030884742736
29,cg26527984,GALK1,0.51791763,-0.0011317783788605416,down,hypo,-0.0005286463292628707,0.5754227792190401,0.5098359452826636,0.4888496353875759,0.47638079226017
30,cg22498251,TWIST1,0.51790625,-0.0009758195888283577,down,hyper,0.00014685628038644576,0.5731972621766147,0.505095632161413,0.49613713005254434,0.47017285525798796
31,cg10994126,PAPPA2,0.51787055,-0.001022871965903881,down,hypo,-3.011508376366759e-05,0.5812539136567653,0.49995760789939336,0.4936983041292013,0.4836818277835846
32,cg21269897,HIST1H4I,0.51784277,-0.0006032096362922032,down,hyper,5.688887527724682e-05,0.5647936925193332,0.4933980903455189,0.5149675676989001,0.5160040855407715
33,cg13531460,GPR55,0.5177507,-0.0008960068455338381,down,hypo,-0.001003879920409151,0.571947186395822,0.5022207514161156,0.5032072212806967,0.498453089594841
34,cg12875426,DYM,0.5176904,-0.0012562566473776876,down,hypo,-0.000515584312236252,0.5863943226290065,0.5017204751571019,0.48667575626872306,0.48385908007621764
35,cg23855121,TLR10,0.5176417,-0.0013166342716290317,down,hypo,-0.00033484970044784314,0.5885615110002607,0.5049614887861978,0.4828475401845089,0.4783544778823853
36,cg20655010,C2orf34,0.51763433,-0.0007205972666279282,down,hypo,-1.0035559986824187e-05,0.573713412150642,0.4971259219305856,0.5098510367232699,0.5135808140039444
37,cg24615251,CCL13,0.5174445,-0.001221662953124327,down,hypo,-0.00017721407776081865,0.5782465693966442,0.5078515648841858,0.4891628931428111,0.4770004540681839
38,cg21291985,BTBD4,0.5173907,-0.0006220204136572191,down,hyper,0.0006863051998032019,0.5633816399321651,0.4966335691156841,0.5153153781280961,0.5224572032690048
39,cg21835643,RBPSUHL,0.5173827,-0.0009920584477901729,down,hyper,0.0006026849174689459,0.5897882977463552,0.4860918886604763,0.5081332994754925,0.5183690398931503
40,cg20950011,CIDEA,0.5173724,-0.0009265702248046249,down,hyper,0.0001756703907226288,0.5853719600778542,0.48591864293529874,0.5110184571077657,0.5294103056192399
41,cg21226225,TXNRD1,0.51735693,-0.0005480301081273118,down,hypo,-0.0004687111677003058,0.5600744475986784,0.48788916695685614,0.5107505869033725,0.5081048816442489
42,cg14932684,YAF2,0.5173185,-0.0009779609935630547,down,hypo,-0.0005138783305167464,0.58284022772549,0.49023003251779645,0.5058498271675997,0.5246932119131088
43,cg26312920,NEUROD6,0.517071,-0.000651851382700096,down,hypo,-0.0006204573529635191,0.5679979805914771,0.4949206353653045,0.5101311782071757,0.5233082234859466
44,cg23548479,CDKN1C,0.51677036,-0.0005737620107231708,down,hypo,-3.470323663421365e-05,0.5612027485244322,0.49841972887516023,0.5108492665512617,0.5076691150665283
45,cg21584430,ADORA2A,0.5167567,-0.000656020215075567,down,hyper,0.0006821741509523448,0.5635356281372096,0.4917984450147265,0.5108626568040182,0.5273124516010285
46,cg25675349,TEX264,0.5167296,-0.0005545890994825051,down,hypo,-0.0001089298768845428,0.5622556095091712,0.49502155298278444,0.5136696557665981,0.52849583029747
47,cg01493517,HOM-TES-103,0.51671225,-0.001164369751479083,down,hypo,-0.0008018940571314385,0.5796528547410144,0.5054588906821751,0.49001862836438553,0.4652531534433365
48,cg03876618,IGFBP7,0.51663446,-0.0012300069256638954,down,hyper,0.00021285924288363852,0.5860185765272734,0.4991796734787169,0.48782605036746624,0.4755721390247345
49,cg25033993,STX1B2,0.5166138,0.00013230755492488278,up,hyper,0.0003352994495011127,0.52517046991563,0.5015263364428566,0.5348836211271064,0.5324326097965241
50,cg04511534,GGT6,0.5165735,-0.0005751436698608391,down,hyper,0.00012018598843334123,0.5656841263076328,0.4982966790596644,0.506879614882691,0.5245078682899476
51,cg24056567,PSD3,0.5165683,-0.0007979215003117294,down,hyper,0.0015099440974503178,0.572418002498071,0.49021079696360087,0.5086521225613218,0.5081964284181595
52,cg24844534,C1QTNF1,0.51651603,-0.0009643647491516141,down,hyper,8.576629414330767e-05,0.5819432814389665,0.49578408286685033,0.49932237870471424,0.5162966966629028
53,cg26964415,MGC2749,0.51651084,-0.0007174895591800356,down,hyper,0.00011131236147148753,0.5679332570524405,0.4959725070567358,0.5079741949258849,0.5158366084098815
54,cg23360251,LEPREL2,0.51650685,-0.000741729040346495,down,hyper,2.957479185158976e-05,0.5696356067594314,0.4982537181604476,0.49884647581466407,0.5072264432907104
55,cg25743584,TIAF1,0.51650226,-0.0011320068114708717,down,hypo,-8.896903891768023e-05,0.5820757565119409,0.5129676414387566,0.490528960907182,0.46769019961357117
56,cg25368651,C11orf47,0.51644003,-0.0002915936076754631,down,hyper,0.0008874519018568287,0.5446445156406883,0.5025687822273799,0.5203039614960204,0.5341171354055405
57,cg00226904,SERPINB5,0.5164274,-0.0004402957813155812,down,hyper,0.00023053344963387283,0.5591292797729669,0.48404826110317595,0.5199156753545584,0.5202414631843567
58,cg13060405,MYO18A,0.51640236,-0.0009934328416698708,down,hypo,-4.408993162997576e-05,0.5759499815126129,0.4961585833912804,0.4919229125560716,0.4750121146440506
59,cg26753137,SIRT5,0.5163686,-0.00014258158365752983,down,hyper,0.00024643861461211075,0.542744780020998,0.487703007033893,0.5173418476831081,0.4853582292795181
60,cg21495715,SLC5A10,0.5163347,-0.00014337012194747797,down,hyper,0.00028088451088877694,0.5380573633885541,0.4978914266540891,0.5287310425625291,0.517082080245018
61,cg13325261,ARNTL2,0.51632625,-0.0008958819028954211,down,hypo,-4.926768277426739e-05,0.5780488359217613,0.49165414883976893,0.5032676808362784,0.5008413076400757
62,cg13840968,CIDEB,0.51632255,0.00030740248375038076,up,hypo,-0.001472082612484495,0.5114183244326257,0.5081495307740711,0.5307268916174422,0.5270459473133087
63,cg03608577,OR12D3,0.5163033,-0.001226575647035664,down,hypo,-0.00022624683209957345,0.5770455575147212,0.5061245762166523,0.4810108715711638,0.4837175875902176
64,cg19120746,TRIM45,0.5161834,0.00024735238401077034,up,hypo,-7.326533355338183e-05,0.520514490391245,0.5031358182430268,0.5298719887816629,0.5457473397254944
65,cg24121001,TTC16,0.5161506,-0.0006806661016060076,down,hypo,-0.0004912715274453156,0.5675235051192985,0.49440392426082064,0.5089735191228778,0.5191884964704514
66,cg17346022,SNX6,0.51604295,-0.0008204005227543991,down,hypo,-0.0006292818045359068,0.5561344465672575,0.5147051568542208,0.49462285915086435,0.4919819086790085
67,cg23724447,BUB3,0.516039,-0.0007051814805393492,down,hypo,-0.0002918346263027455,0.5700921441940282,0.4892057350703648,0.51305354403895,0.5340858459472656
68,cg09985635,PCDH1,0.51585877,-0.0010155083786733857,down,hypo,-8.6563508923355e-05,0.5716234441624571,0.4985719899336497,0.4923474428265594,0.47411375641822817
69,cg21705120,UBE2G1,0.5158473,-0.0009057938510948601,down,hypo,-0.00017948711368906702,0.5731439900319308,0.4933801316079639,0.4978426126546638,0.4862615317106247
70,cg15305511,EVC2,0.5157954,-0.00011912197915368798,down,hypo,-0.000300736164940861,0.5401913099336308,0.4974230394476936,0.5199902913598127,0.5247278928756713
71,cg10049968,C9orf25,0.5156895,-0.0005015818852699434,down,hypo,-5.899668268826955e-05,0.5462106140638818,0.5086273927064169,0.5104244573171749,0.4938655883073807
72,cg10335112,ODF3,0.5156874,-0.0013426279618628959,down,hyper,0.0002745215402979438,0.5873462877526189,0.500615470891907,0.48279793248620145,0.48101966381072997
73,cg23335946,C1orf26,0.51559055,-0.0005303224115555881,down,hypo,-0.00014710538680690402,0.5433246017686578,0.5064273381517047,0.5039840586656748,0.48449199497699735
74,cg26248486,C12orf58,0.51556236,-0.0010493666076432865,down,hypo,-5.191074225922562e-06,0.5757256130509029,0.5009332344645545,0.48731082573879597,0.493602392077446
75,cg05500074,TSKS,0.515557,-0.0003958241076762275,down,hypo,-0.0003084304742753405,0.5497783406680783,0.5043442494812466,0.506361550369928,0.5279851078987121
76,cg00979348,HPSE,0.51549935,-0.0007814193812396918,down,hyper,7.001081249386237e-05,0.5596568027868966,0.5027775422448204,0.49990971143855606,0.48329191505908964
77,cg23626798,L3MBTL,0.51541895,-0.0008835145696353339,down,hyper,0.00038749730285630383,0.5618861803155861,0.5091392781053271,0.49581234954124276,0.4815209686756134
78,cg25061755,STON1,0.51539063,-0.00104784774652529,down,hypo,-4.695921593498876e-05,0.5666308708933016,0.5154695019835518,0.48848609210446825,0.47752217650413514
79,cg05399553,SNRPB,0.515366,-0.0006010619965376162,down,hypo,-7.60307439838503e-06,0.5556768378279856,0.49564913128103527,0.501072998656783,0.4862790107727051
80,cg18967533,KLK6,0.51529735,-0.0006278949000215516,down,hyper,1.6993393390715187e-05,0.5558392152880991,0.4986219441606885,0.5040037233469098,0.47322170436382294
81,cg26123414,ORAOV1,0.51528084,-0.0007191995267129591,down,hypo,-0.0001329845862326676,0.5752396328954508,0.4839548072644642,0.5111728320981181,0.5199542999267578
82,cg05102817,RBM18,0.51523787,-0.0012807853453490248,down,hypo,-0.00020448561440888002,0.584764460854183,0.5002612719933192,0.4842456534158352,0.4832052975893021
83,cg23276695,CNR1,0.5152247,-0.00038314064580086365,down,hypo,-0.0004966549732490525,0.5458498504382885,0.501078015707788,0.5170404207567836,0.5172899901866913
84,cg06726207,SIX4,0.5151418,-0.0009523829890902702,down,hyper,7.531838841117693e-05,0.5658776742338345,0.5030556891645704,0.48791342280631844,0.4930500894784927
85,cg23970785,DEXI,0.5151333,-0.0008091795052643948,down,hypo,-0.00032709382987037243,0.5513841046008053,0.5151621145861489,0.491875060422476,0.4844613134860992
86,cg13765785,SCN3B,0.51507837,-0.0006738722584753626,down,hyper,0.0005507740830123138,0.5614634126622156,0.4922520734014965,0.5068575483421947,0.5045241296291352
87,cg11851098,MGC26816,0.51501924,-0.0008795524426405787,down,hyper,0.000301659956028113,0.5609148981555409,0.5081725639956338,0.492128154219583,0.48391249775886536
88,cg13645078,PHLDA3,0.51501924,-0.0005227059695085288,down,hyper,0.00022543645682770037,0.5642483487034475,0.4849274727560225,0.5151772526807563,0.5229947358369827
89,cg26754448,C12orf57,0.51493126,-0.0004956296050772361,down,hypo,-0.00036034155613042423,0.5497972491561183,0.4995473472844987,0.5073159572690032,0.5111018031835556
90,cg22477971,C1QB,0.51491165,-0.00023154214939904622,down,hyper,0.0006993961387408014,0.539538999859071,0.4995803014153526,0.5163802050573881,0.5127979844808579
91,cg08370996,NR2F2,0.51486844,-0.0007852055715074625,down,hyper,0.0008783424646934864,0.56482292780813,0.49430436491966245,0.5059488464233487,0.5055463254451752
92,cg02357725,IMP3,0.5148175,-0.0006747505768687938,down,hypo,-7.29572375976009e-05,0.5600788178822852,0.4970974202666964,0.5090091270069743,0.5066793978214263
93,cg05275605,C21orf123,0.5148121,-0.0014211371402614616,down,hyper,0.0008895939685391301,0.5900242162856045,0.4981350905838467,0.47850707727809283,0.4708314299583435
94,cg06132342,KRTHB5,0.5148091,-0.001058824412210379,down,hyper,0.00010071363536025872,0.5722845948689821,0.5022766267969495,0.49621300052764805,0.4764257282018661
95,cg16218424,CMAS,0.51474255,-0.000710764156793175,down,hyper,0.0001661109218897394,0.5602466637725072,0.4982262724921817,0.49576324640318403,0.49250445067882537
96,cg13560548,C3orf24,0.5147078,-0.0011065010425034502,down,hyper,0.0008471356560326809,0.5751305956714201,0.5009597791092736,0.4862709260264108,0.47431588768959043
97,cg04138756,SPRR3,0.5146978,-0.0008106301252168057,down,hypo,-0.00015640950680429201,0.5588148504692987,0.5139942302590325,0.4909683375857597,0.48354620635509493
98,cg11521965,PTN,0.51461935,-0.000955253363016296,down,hyper,0.0007640614660860986,0.5663971971991836,0.503272117461477,0.48973473733247713,0.4816764295101166
99,cg08229694,IMMT,0.51461583,-0.0010408223745295216,down,hypo,-8.348224119992975e-05,0.5822512436386765,0.4914995368037905,0.5019278297590655,0.5122601211071014
100,cg04086012,FLJ36180,0.5145785,-0.0010357471021337494,down,hypo,-0.0007040650082509897,0.5718670189380646,0.5010283986727396,0.486266031168228,0.49779170751571655
